CYEY,KARB
CYEY,DABB
PAKP,SYAN
PAKP,KANP
PAKP,LFLI
PAKP,PANT
PAKP,KANB
PAKP,LTAI
KAID,KANY
KAID,TAPA
KAID,RPVS
KAID,SAVN
KAID,SVCU
KAID,SKPS
GMFO,TJAB
GMFO,SKLC
GMFO,UKKM
GMFO,KACB
GMFO,FMNH
GMFO,EBAW
KARB,VCCA
KARB,PANV
KARB,RJSA
KARB,LIMW
KARB,KAAF
KARB,SLAP
KANB,KAPV
KANB,SSAP
KANB,OJAQ
KANB,SBAU
KANB,LRAR
KANB,FYAR
SVCU,OERR
SVCU,SBAQ
SVCU,YARA
SVCU,LGRX
SVCU,HAAM
SVCU,LFCH
FMNH,KACV
FMNH,PARC
FMNH,OITL
FMNH,NZAR
FMNH,KADM
FMNH,LGKA
KAAF,YARM
KAAF,CYYW
KAAF,TVSV
KAAF,ENML
KAAF,FMNA
KAAF,LFQD
LRAR,MDAB
LRAR,WAJA
LRAR,KATS
LRAR,MYCA
LRAR,SCEL
LRAR,SVVA
HAAM,HTAR
HAAM,NTGU
HAAM,CYEK
HAAM,ESNX
HAAM,RJEC
HAAM,OIBI
KADM,FHAW
KADM,SLAS
KADM,NZAS
KADM,KAVL
KADM,UTAA
KADM,KASY
FMNA,HHAS
FMNA,HASO
FMNA,KASE
FMNA,HHSB
FMNA,SBAS
FMNA,UACC
SCEL,KAST
SCEL,URWA
SCEL,LEAS
SCEL,LGPL
SCEL,HESN
SCEL,HEAT
RJEC,WRKA
RJEC,OYAT
RJEC,GQPA
RJEC,KAHN
RJEC,LGAV
RJEC,CYIB
UTAA,PAAK
UTAA,KACY
UTAA,KAIO
UTAA,PATQ
UTAA,RJTA
UTAA,UATG
SBAS,LFHO
SBAS,KAUN
SBAS,KAUO
SBAS,NZAA
SBAS,EDMA
SBAS,KAGS
HESN,KAUG
HESN,SBNT
HESN,VAAU
HESN,LFLW
HESN,KARR
HESN,KAUS
LGAV,KAUM
LGAV,LFLA
LGAV,YMAV
LGAV,FMNC
LGAV,SAZY
LGAV,LIPA
RJTA,KAVO
RJTA,HAAX
RJTA,YAYE
RJTA,PTRO
RJTA,EPZG
RJTA,WASO
EDMA,LRBC
EDMA,RPVB
EDMA,WAKE
EDMA,FKKU
EDMA,VYBG
EDMA,VEBD
KARR,VNBL
KARR,CYBG
KARR,RPUB
KARR,OPBW
KARR,MMBT
KARR,HABD
SAZY,OBBI
SAZY,CYBC
SAZY,TFFB
SAZY,YBNS
SAZY,ZBHH
SAZY,ZGGG
EPZG,WRKB
EPZG,VNBR
EPZG,GOTB
EPZG,CYBK
EPZG,BIBK
EPZG,USCC
VYBG,LHSM
VYBG,RPUR
VYBG,EPKK
VYBG,LTFD
VYBG,UAAH
VYBG,YBNA
MMBT,SCBA
MMBT,YBRN
MMBT,LUBL
MMBT,OIKM
MMBT,GABS
MMBT,FKKV
ZBHH,VLHS
ZBHH,ENNA
ZBHH,WITT
ZBHH,OIKB
ZBHH,OIBL
ZBHH,VCBI
BIBK,FMCI
BIBK,FZBO
BIBK,VTBD
BIBK,VTBS
BIBK,FZIC
BIBK,FEFF
UAAH,LQBK
UAAH,WRBB
UAAH,GBYD
UAAH,YSBK
UAAH,VYBM
UAAH,EIBN
GABS,ZGSZ
GABS,LFEU
GABS,SKMG
GABS,MUBA
GABS,VEBI
GABS,TBPB
OIBL,YBAR
OIBL,LEBL
OIBL,SWBC
OIBL,ENDU
OIBL,LIBD
OIBL,SVBI
FZIC,VGBR
FZIC,UNBB
FZIC,SVBM
FZIC,EGPR
FZIC,MRBC
FZIC,SBBW
VYBM,SNBR
VYBM,SCBE
VYBM,PABA
VYBM,SBCP
VYBM,ZMBU
VYBM,EYSB
VEBI,RPUO
VEBI,SBAN
VEBI,SBST
VEBI,SBTA
VEBI,LFSB
VEBI,ORMM
LIBD,GMFM
LIBD,OSLK
LIBD,FGBT
LIBD,LYBT
LIBD,OMAD
LIBD,CZBF
MRBC,YBTH
MRBC,YBTI
MRBC,LTCJ
MRBC,DABT
MRBC,ENBS
MRBC,VDBG
ZMBU,VCCB
ZMBU,WRBC
ZMBU,UGSB
ZMBU,WAAB
ZMBU,WPEC
ZMBU,SBBU
LFSB,ZMBH
LFSB,EDQD
LFSB,LFGF
LFSB,LFOB
LFSB,PAWB
LFSB,CYXQ
OMAD,DAOR
OMAD,YBIE
OMAD,RCMT
OMAD,OYBN
OMAD,FQBR
OMAD,EGAA
ENBS,EGAC
ENBS,LFSQ
ENBS,VABM
ENBS,UUOB
ENBS,LYBE
ENBS,CYJQ
WPEC,CYBD
WPEC,VOBI
WPEC,LIDB
WPEC,SNBL
WPEC,PABG
WPEC,EGHJ
PAWB,YBLA
PAWB,EGPL
PAWB,YBDG
PAWB,WIPL
PAWB,FNBG
PAWB,DNBE
FQBR,HLLB
FQBR,SKNV
FQBR,TJCP
FQBR,HCMI
FQBR,FEFT
FQBR,LIME
LYBE,ENBR
LYBE,LFBE
LYBE,ENBV
LYBE,EDDB
LYBE,EDDT
LYBE,SLBJ
PABG,TXKF
PABG,LSZB
PABG,LFPD
PABG,FMNQ
PABG,LFSA
PABG,URMO
FNBG,ULPB
FNBG,PABE
FNBG,FABM
FNBG,PABT
FNBG,OLBA
FNBG,VNBW
FEFT,VIBT
FEFT,VABV
FEFT,FABE
FEFT,VABP
FEFT,VEBS
FEFT,VABJ
EDDT,WABB
EDDT,LFBZ
EDDT,PABM
EDDT,EGKB
EDDT,VABI
EDDT,LEBB
LFSA,EKBI
LFSA,CYOS
LFSA,WRRB
LFSA,ZBTJ
LFSA,WBGB
LFSA,VNVT
OLBA,YBDV
OLBA,OIMB
OLBA,EGBB
