"OPFA","LYP","Faisalabad Intl","31.35504200:072.98680300","OP","Pakistan"
"WASF","FKQ","Fak Fak/torea (dgac)","-02.91961700:132.26238300","WA","Indonesia"
"NTGF","FAV","Fakarava","-16.05643100:-145.66197200","NT","French Polynesia"
"LIPY","AOI","Falconara","43.60691200:013.34935500","LI","Italy"
"NSFA","APW","Faleolo Intl","-13.83021100:-172.02224200","NS","Samoa, American Samoa"
"NTGB","FGU","Fangatau","-15.82038100:-140.89276700","NT","French Polynesia"
"GUFH","FAA","Faranah","10.03415000:-010.78056100","GU","Guinea"
"PAFW","FWL","Farewell","62.50814556:-153.90800567","PA","Alaska"
"SKUL","ULQ","Farfan","04.08363600:-076.23608100","SK","Colombia"
"EGLF","FAB","Farnborough","51.27055300:-000.79204400","EG","United Kingdom"
"CZFA","ZFA","Faro","62.20972200:-133.38666900","CZ","Canada"
"LPFR","FAO","Faro","37.01729200:-007.98609400","LP","Portugal"
"FMNN","NOS","Fascene","-13.31931900:048.30790600","FM","Comoros, Madagascar, Mayotte, Réunion"
"LFOE","EVX","Fauville","49.01831400:001.20671100","LF","France"
"FTTY","FYT","Faya Largeau","17.91042500:019.09981900","FT","Chad"
"RCFN","TTT","Fengnin","22.74627500:121.09423100","RC","Republic of China (Taiwan)"
"SBFN","FEN","Fernando De Noronha","-03.85435000:-032.43165000","SB","Brazil"
"TJIG","SIG","Fernando Luis Ribas Dominicci","18.45591400:-066.10574700","TJ","Puerto Rico"
"FMSF","WFI","Fianarantsoa","-21.44420800:047.10643100","FM","Comoros, Madagascar, Mayotte, Réunion"
"FAFB","FCB","Ficksburg Sentraoes","-28.82633253:027.90283275","FA","South Africa"
"LFKF","FSC","Figari/sud Corse","41.49452700:009.08600400","LF","France"
"LGKZ","KZI","Filippos","40.29171800:021.83371900","LG","Greece"
"LIRQ","FLR","Firenze","43.80506600:011.19740700","LI","Italy"
"NSFQ","FAQ","Fitiuta","-14.21418100:-169.42868100","NS","Samoa, American Samoa"
"YFTZ","FIZ","Fitzroy Crossing","-18.18918239:125.55795640","YF","Australia"
"PAFV","FMC","Five Mile","65.92975238:-149.84626943","PA","Alaska"
"CYFO","YFO","Flin Flon","54.68481900:-101.67983100","CY","Canada"
"YFLI","FLS","Flinders Island","-40.08323369:147.98250764","YF","Australia"
"LPFL","FLW","Flores","39.46152200:-031.13311900","LP","Portugal"
"ENFL","FRO","Floro","61.58090000:005.00802800","EN","Norway"
"CZFD","ZFD","Fond Du Lac","59.33570254:-107.19266378","CZ","Canada"
"YFBS","FRB","Forbes","-33.36178903:147.92121089","YF","Australia"
"CYFE","YFE","Forestville","48.74381100:-069.10698100","CY","Canada"
"LIPK","FRL","Forli","44.19977200:012.05673300","LI","Italy"
"SARF","FMA","Formosa","-26.22008300:-058.23191700","SA","Argentina"
"SBCM","CCM","Forquilhinha","-28.72745000:-049.43213600","SB","Brazil"
"YFRT","FOS","Forrest","-30.83267457:128.11281879","YF","Australia"
"CYPY","YPY","Fort Chipewyan","58.76277800:-111.12750000","CY","Canada"
"CYAG","YAG","Fort Frances Muni","48.65800300:-093.44808100","CY","Canada"
"CYGH","YGH","Fort Good Hope","66.24083600:-128.66111900","CY","Canada"
"CYJF","YJF","Fort Liard","60.23159966:-123.47305182","CY","Canada"
"CYMM","YMM","Fort Mcmurray","56.65250000:-111.23695000","CY","Canada"
"CZFM","ZFM","Fort Mcpherson","67.41139200:-134.86806100","CZ","Canada"
"CYYE","YYE","Fort Nelson","58.83083300:-122.61583900","CY","Canada"
"CYFR","YFR","Fort Resolution","61.18496700:-113.69713900","CY","Canada"
"CYFS","YFS","Fort Simpson","61.76777500:-121.24371100","CY","Canada"
"CYSM","YSM","Fort Smith","60.02750000:-111.97250000","CY","Canada"
"CYJM","YJM","Fort St James","54.40027500:-124.27055000","CY","Canada"
"CYXJ","YXJ","Fort St John","56.24500000:-120.75333300","CY","Canada"
"KAFW","AFW","Fort Worth Alliance","33.00163615:-097.32074901","KA","United States of America"
"PFYU","FYU","Fort Yukon","66.56755600:-145.26775300","PF","Fort Yukon, Alaska"
"FKKM","FOM","Foumban Nkounja","05.62940600:010.74502200","FK","Cameroon"
"RPMD","DVO","Francisco Bangoy Intl","07.11667500:125.63548900","RP","Philippines"
"PGSN","SPN","Francisco C Ada Saipan Intl","15.11447500:145.71793600","PG","Guam, Northern Marianas"
"SPJJ","JAU","Francisco Carle","-11.77534200:-075.48358600","SP","Peru"
"SBJF","JDF","Francisco De Assis","-21.79843100:-043.38748900","SB","Brazil"
"SECO","OCC","Francisco De Orellana","-00.45257800:-076.99193900","SE","Ecuador"
"FBFT","FRW","Francistown","-21.15833300:027.46405300","FB","Botswana"
"SCSB","SMB","Franco Bianco","-52.73915704:-069.33939280","SC","Chile"
"MUHG","HOG","Frank Pais Intl","20.77544700:-076.32635000","MU","Cuba"
"EDDF","FRA","Frankfurt Am Main","50.03261700:008.53463100","ED","Germany"
"EDFH","HHN","Frankfurt Hahn","49.93139400:007.24687700","ED","Germany"
"EDFE","QEF","Frankfurt-egelsbach","49.96036747:008.63110324","ED","Germany"
"CYFC","YFC","Fredericton","45.86297635:-066.55100056","CY","Canada"
"GFLL","FNA","Freetown Lungi","08.62068600:-013.20940300","GF","Sierra Leone"
"MYAF","ASD","Fresh Creek","24.69828100:-077.80172500","MY","Bahamas"
"GUFA","FIG","Fria","10.34564700:-013.57475800","GU","Guinea"
"EDNY","FDH","Friedrichshafen","47.66603600:009.49788900","ED","Germany"
"NFTF","TBU","Fua Amotu Intl","-21.23480800:-175.16060300","NF","Fiji, Tonga"
"GCFV","FUE","Fuerteventura","28.43298582:-013.86439401","GC","Canary Islands"
"OMFJ","FJR","Fujairah Intl","25.11857500:056.30703100","OM","United Arab Emirates"
"RJFE","FUJ","Fukue","32.65815000:128.82817800","RJ","Japan"
"RJNF","FKJ","Fukui","36.14877800:136.22340000","RJ","Japan"
"RJFF","FUK","Fukuoka","33.59691900:130.44318600","RJ","Japan"
"RJSF","FKS","Fukushima","37.21617500:140.42743300","RJ","Japan"
"NGFU","FUN","Funafuti Atol Intl","-08.52985195:179.19147788","NG","Kiribati, Tuvalu"
"DTTG","GAE","Gabes","33.87443600:010.09801100","DT","Tunisia"
"DTTF","GAF","Gafsa","34.41345300:008.81067500","DT","Tunisia"
"SEGS","GPS","Galapagos - Baltra","-00.44499400:-090.27227800","SE","Ecuador"
"SEST","SCY","Galapagos - San Cristobal","-00.90178900:-089.61901400","SE","Ecuador"
"PAGB","GBH","Galbraith Lake","68.48511112:-149.50032354","PA","Alaska"
"SBGL","GIG","Galeão Antonio Carlos Jombim","-22.80193300:-043.25511700","SB","Brazil"
"WAMA","GLX","Galela/gamarmalamo (dgac)","01.83661630:127.78516492","WA","Indonesia"
"ESNG","GEV","Gallivare","67.13600800:020.79718600","ES","Sweden"
"EICM","GWY","Galway","53.29878100:-008.95052500","EI","Ireland"
"PAGM","GAM","Gambell","63.77270800:-171.73471400","PA","Alaska"
"HAGM","GMB","Gambella","08.14002500:034.56323900","HA","Ethiopia"
"SCST","WCA","Gamboa Apt","-42.48599798:-073.77466657","SC","Chile"
"VRMG","GAN","Gan Island","-00.69153300:073.14383600","VR","Maldives"
"CYQX","YQX","Gander Intl","48.92083300:-054.56833300","CY","Canada"
"RKNN","KAG","Gangneung","37.74901100:128.92917200","RK","South Korea"
"UBBG","KVD","Ganja","40.74464200:046.30592200","UB","Azerbaijan"
"GAGO","GAQ","Gao","16.24321400:-000.01581700","GA","Mali"
"ZSAM","XMN","Gaoqi","24.53458900:118.11451700","ZS","People\'s Republic of China"
"YGPT","GPN","Garden Point","-11.40440199:130.42095966","YG","Australia"
"LFTW","FNI","Garons Navy","43.76929100:004.41555600","LF","France"
"FKKR","GOU","Garoua","09.33489700:013.35483100","FK","Cameroon"
"ZPJH","JHG","Gasa","21.98327800:100.75609200","ZP","People\'s Republic of China"
"CYGP","YGP","Gaspe","48.77463000:-064.48789000","CY","Canada"
"OEGS","ELQ","Gassim","26.31483300:043.76701400","OE","Saudi Arabia"
"CYND","YND","Gatineau","45.51962200:-075.57490800","CY","Canada"
"ESSK","GVX","Gavle","60.60210800:016.95153900","ES","Sweden"
"VEGY","GAY","Gaya","24.74675300:084.94021900","VE","India"
"LVGZ","GZA","Gaza Intl.","31.23455738:034.26969396","LV","Gaza Strip"
"FZFD","BDT","Gbadolite","04.24889700:020.96150800","FZ","Democratic Republic of the Congo"
"YGLG","GEX","Geelong","-38.22079063:144.33432664","YG","Australia"
"ETNG","GKE","Geilenkirchen","50.96101400:006.02004200","ET","Germany"
"ENSN","SKE","Geiteryggen","59.17881100:009.56523600","EN","Norway"
"FZFK","GMA","Gemena","03.23730800:019.76247800","FZ","Democratic Republic of the Congo"
"SPJR","CJA","Gen Fap Armando Revoredo Iglesias","-07.12877200:-078.49367800","SP","Peru"
"MMTJ","TIJ","General Abelardo L Rodriguez Intl","32.54310000:-116.98567200","MM","Mexico"
"SVPC","PBL","General Bartolome Salom Intl","10.48153600:-068.08265300","SV","Venezuela"
"SCCH","YAI","General Bernardo O Higgins","-36.58807500:-072.03827800","SC","Chile"
"SAST","TTG","General Enrique Mosconi","-22.62589400:-063.79413600","SA","Argentina"
"MMMM","MLM","General Francisco J Mujica Intl","19.84161908:-101.03850958","MM","Mexico"
"MMTM","TAM","General Francisco Javier Mina Intl","22.30198100:-097.87411100","MM","Mexico"
"MMVR","VER","General Heriberto Jara Intl","19.14945600:-096.18627800","MM","Mexico"
"MMHO","HMO","General Ignacio P Garcia Intl","29.08801700:-111.06265600","MM","Mexico"
"SVBC","BLA","General Jose Antonio Anzoategui Intl","10.12181900:-064.70052800","SV","Venezuela"
"SVCP","CUP","General Jose Francisco Bermudez","10.66892200:-063.26366700","SV","Venezuela"
"MMGM","GYM","General Jose Maria Yanez Intl","27.95977500:-110.93101700","MM","Mexico"
"MMAA","ACA","General Juan N Alvarez Intl","16.75996100:-099.76322500","MM","Mexico"
"SWLC","RVD","General Leite De Castro","-17.83973600:-050.95723100","SW","Brazil"
"MMZC","ZCL","General Leobardo C Ruiz Intl","22.88513900:-102.69375000","MM","Mexico"
"MMRX","REX","General Lucio Blanco Intl","26.01555800:-098.23449700","MM","Mexico"
"SVPR","CGU","General Manuel Carlos Piar","08.28450000:-062.76868900","SV","Venezuela"
"MMLP","LAP","General Manuel Marquez De Leon Intl","24.08389200:-110.36087800","MM","Mexico"
"SEMH","MCH","General Manuel Serrano","-03.26259200:-079.96575000","SE","Ecuador"
"MMMY","MTY","General Mariano Escobedo Intl","25.78412800:-100.11720300","MM","Mexico"
"MMCB","CVJ","General Mariano Matamoros","18.82365000:-099.26837500","MM","Mexico"
"MMCV","CVM","General Pedro Jose Mendez Intl","23.71245300:-098.96078600","MM","Mexico"
"SAZG","GPO","General Pico","-35.68618600:-063.76279400","SA","Argentina"
"MMCU","CUU","General R Fierro Villalobos Intl","28.71461900:-105.96093600","MM","Mexico"
"MMMZ","MZT","General Rafael Buelna Intl","23.16202500:-106.27783100","MM","Mexico"
"MMML","MXL","General Rodolfo Sanchez Taboada Intl","32.63621700:-115.25466300","MM","Mexico"
"MMMA","MAM","General Servando Canales Intl","25.77941100:-097.52994700","MM","Mexico"
"SESA","SNC","General Ulpiano Paez","-02.20293100:-080.99363300","SE","Ecuador"
"SAAP","PRA","General Urquiza","-31.80413900:-060.48197200","SA","Argentina"
"LSGG","GVA","Geneve","46.22577207:006.09091715","LS","Switzerland"
"LIMJ","GOA","Genova Sestri","44.41542200:008.82418900","LI","Italy"
"FAGG","GRJ","George","-34.00587177:022.36766646","FA","South Africa"
"KAIV","AIV","George Downer","33.10322200:-088.20493300","KA","United States of America"
"TRPG","MNI","Geralds Ap","16.79133500:-062.19612400","TR","Montserrat"
"YGEL","GET","Geraldton","-28.80448906:114.70338699","YG","Australia"
"CYGQ","YGQ","Geraldton Greenstone Regional","49.77638900:-086.94944400","CY","Canada"
"SKBU","BUN","Gerardo Tobar Lopez","03.81924200:-076.99516900","SK","Colombia"
"SKPQ","PQE","German Olano Ab","05.49736100:-074.65672200","SK","Colombia"
"HLTD","LTD","Ghadames East","30.13858300:009.68733300","HL","Libya"
"HLGT","GHT","Ghat","25.15158300:010.14166700","HL","Libya"
"DAOV","MUW","Ghriss","35.20638600:000.13795800","DA","Algeria"
"LXGB","GIB","Gibraltar","36.15079901:-005.35977232","LX","Gibraltar"
"OPGT","GIL","Gilgit","35.91643900:074.32499200","OP","Pakistan"
"CYGX","YGX","Gillam","56.35333111:-094.71966877","CY","Canada"
"EHGR","GLZ","Gilze Rijen","51.56953700:004.91198500","EH","Netherlands"
"RKPK","PUS","Gimhae Intl","35.19387200:128.93512800","RK","South Korea"
"CYGM","YGM","Gimli Industrial Park","50.63611100:-097.04944700","CY","Canada"
"LIBF","FOG","Gino Lisa","41.43885800:015.53158600","LI","Italy"
"LEGE","GRO","Girona","41.89491100:002.75825600","LE","Spain"
"AYGR","PNP","Girua","-08.81049400:148.30436100","AY","Papua New Guinea"
"NZGS","GIS","Gisborne","-38.65791700:177.97521900","NZ","New Zealand, Antarctica"
"HRYG","GYI","Gisenyi","-01.68172800:029.25810300","HR","Rwanda"
"AGGN","GZO","Gizo/nusatope","-08.10237816:156.86683087","AG","Solomon Islands"
"CYHK","YHK","Gjoa Haven","68.63916700:-095.86277800","CY","Canada"
"YGLA","GLT","Gladstone","-23.86688373:151.21690656","YG","Australia"
"EGPF","GLA","Glasgow","55.86347500:-004.44906400","EG","United Kingdom"
"YGLI","GLI","Glen Innes","-29.67253330:151.67997874","YG","Australia"
"NZGT","GTN","Glentanner","-43.90609300:170.12725100","NZ","New Zealand, Antarctica"
"EGBJ","GLO","Gloucestershire","51.89361100:-002.17722200","EG","United Kingdom"
"DXXX","LFW","Gnassingbe Eyadema Intl","06.15512800:001.24568600","DX","Togolese Republic"
"VAGO","GOI","Goa","15.37780300:073.81562500","VA","India"
"SAVV","VDM","Gobernador Castello","-40.86697200:-063.01113900","SA","Argentina"
"SAWR","GGS","Gobernador Gregores","-48.78170038:-070.17048958","SA","Argentina"
"HAGO","GDE","Gode","05.92652500:043.57168600","HA","Ethiopia"
"CYGD","YGD","Goderich","43.77111100:-081.71639200","CY","Canada"
"SBVT","VIX","Goiabeiras","-20.26233600:-040.29332200","SB","Brazil"
"YBCG","OOL","Gold Coast","-28.15650000:153.50073100","YB","Australia"
"CYGE","YGE","Golden","51.30416700:-116.98472200","CY","Canada"
"EPSC","SZZ","Goleniow","53.59208290:014.88792304","EP","Poland"
"MRGF","GLF","Golfito","08.65827500:-083.18638100","MR","Costa Rica"
"MHLC","LCE","Goloson Intl","15.73719200:-086.86596400","MH","Honduras"
"PAGL","GLV","Golovin","64.54603100:-163.01463600","PA","Alaska"
"FZNA","GOM","Goma","-01.66183900:029.23757500","FZ","Democratic Republic of the Congo"
"UMGG","GME","Gomel","52.53113600:030.99900600","UM","Belarus"
"SKAP","APY","Gomez Nino Apiay Ab","04.07708600:-073.57394400","SK","Colombia"
"HAGN","GDQ","Gondar","12.53219700:037.43176100","HA","Ethiopia"
"SKTU","TRB","Gonzalo Mejia","-08.06260220:-076.74938830","SK","Colombia"
"YGDI","GOO","Goondiwindi","-28.52702205:150.31555081","YG","Australia"
"CYYR","YYR","Goose Bay","53.30388900:-060.44805600","CY","Canada"
"VEGK","GOP","Gorakhpur","26.74455600:083.43702800","VE","India"
"CYZE","YZE","Gore Bay Manitoulin","45.88611100:-082.57722500","CY","Canada"
"OING","GBT","Gorgan","36.91656100:054.39205000","OI","Iran"
"LBGO","GOZ","Gorna Oryahovitsa","43.15300300:025.69795000","LB","Bulgaria"
"AYGA","GKA","Goroka","-06.07531900:145.39086900","AY","Papua New Guinea"
"ESGG","GOT","Goteborg Landvetter","57.64952500:012.26770800","ES","Sweden"
"ESGP","GSE","Goteborg Save","57.76589200:011.86882800","ES","Sweden"
"YGLB","GUL","Goulburn","-34.81322432:149.72170633","YG","Australia"
"YPGV","GOV","Gove","-12.26311238:136.80996048","YP","Australia"
"SBPV","PVH","Governador Jorge Teixeira De Oliveira","-08.72012500:-063.90163600","SB","Brazil"
"MYEM","GHB","Governors Harbour","25.29371900:-076.33801400","MY","Bahamas"
"SATG","OYA","Goya","-29.11408100:-059.22577500","SA","Argentina"
"LPGR","GRW","Graciosa","39.09081700:-028.03768100","LP","Portugal"
"YGFN","GFN","Grafton","-29.74716100:153.03204200","YG","Australia"
"GCLP","LPA","Gran Canaria - Gando","27.91886700:-015.39234200","GC","Canary Islands"
"LEGR","GRX","Granada","37.18861045:-003.79371670","LE","Spain"
"MYGF","FPO","Grand Bahama Intl","26.55134400:-078.71029700","MY","Bahamas"
"FAGC","GCJ","Grand Central","-25.97893007:028.13590119","FA","South Africa"
"CZGF","ZGF","Grand Forks","49.01527800:-118.43916100","CZ","Canada"
"TFFA","DSD","Grande Anse La Desirade","16.29932985:-061.08195851","TF","Guadeloupe"
"CYQU","YQU","Grande Prairie","55.18611100:-118.89798600","CY","Canada"
"LFRF","GFR","Granville","48.88027000:-001.57146500","LF","France"
"KAMN","AMN","Gratiot Community","43.32301900:-084.69602200","KA","United States of America"
"LOWG","GRZ","Graz Thalerhof","47.00434700:015.43597200","LO","Austria"
"NZGB","GBZ","Great Barrier","-36.24339253:175.46582551","NZ","New Zealand, Antarctica"
"MYBG","GHC","Great Harbour Cay","25.74172500:-077.84591900","MY","Bahamas"
"CYQM","YQM","Greater Moncton Intl","46.10664553:-064.69495023","CY","Canada"
"CYZX","YZX","Greenwood","44.98111100:-064.93250300","CY","Canada"
"LSZG","ZHI","Grenchen","47.17977247:007.41118186","LS","Switzerland"
"NZGM","GMN","Greymouth","-42.46857731:171.18716811","NZ","New Zealand, Antarctica"
"YGTH","GFF","Griffith","-34.25648647:146.05380586","YG","Australia"
"BIGR","GRY","Grimsey","66.53946328:-018.01571042","BI","Iceland"
"UMMG","GNA","Grodno","53.61340600:024.05313600","UM","Belarus"
"YGTE","GTE","Groote Eylandt","-13.97104173:136.44989193","YG","Australia"
"FYGF","GFY","Grootfontein","-19.60483300:018.11583300","FY","Namibia"
"LIRS","GRS","Grosseto","42.74935600:011.06120000","LI","Italy"
"LIBG","TAR","Grottaglie","40.52506100:017.40122600","LI","Italy"
"SBGM","GJM","Guajara Mirim","-10.77850000:-065.28672200","SB","Brazil"
"SAAG","GHU","Gualeguaychu","-33.01175000:-058.61375000","SA","Argentina"
"PGUM","GUM","Guam Intl","13.47890800:144.78398300","PG","Guam, Northern Marianas"
"MHNJ","GJA","Guanaja","16.44771900:-085.91178100","MH","Honduras"
"MMLO","BJX","Guanajuato Intl","21.00438100:-101.49291700","MM","Mexico"
"SNGI","GNM","Guanambi","-14.20494400:-042.75322200","SN","Brazil"
"SVGU","GUQ","Guanare","09.02122500:-069.76093600","SV","Venezuela"
"MUGM","NBW","Guantanamo Bay Ns","19.90666700:-075.21869400","MU","Cuba"
"MRGP","GPL","Guapiles","10.21312800:-083.80000600","MR","Costa Rica"
"SGES","AGT","Guarani Intl","-25.46711900:-054.85463600","SG","Paraguay"
"SBGW","GUJ","Guaratingueta","-22.79861100:-045.20464700","SB","Brazil"
"SSGB","GTB","Guaratuba","-25.88607500:-048.61209700","SS","Brazil"
"SCGZ","WPU","Guardiamarina Zanartu","-54.93095800:-067.63751700","SC","Chile"
"SBGR","GRU","Guarulhos","-23.43426900:-046.48341400","SB","Brazil"
"SVGD","GDO","Guasdualito","07.20584200:-070.76425000","SV","Venezuela"
"SEGU","GYE","Guayauqiil - Simon Bolivar Intl","-02.16826900:-079.88993600","SE","Ecuador"
"DAUO","ELU","Guemar","33.52750000:006.76194400","DA","Algeria"
"LFCE","XGT","Gueret Saint Laurent","46.17671932:001.96869434","LF","France"
"EGJB","GCI","Guernsey","49.43467500:-002.61204200","EG","United Kingdom"
"SKPP","PPN","Guillermo Leon Valencia","02.45162200:-076.61741700","SK","Colombia"
"SVGI","GUI","Guiria","10.56641100:-062.31765000","SV","Venezuela"
"PAGK","GKN","Gulkana","62.16170600:-145.45661100","PA","Alaska"
"HUGU","ULU","Gulu","02.81897200:032.26711400","HU","Uganda"
"URWW","VOG","Gumrak","48.78809700:044.33101400","UR","Russia"
"VAGN","GUX","Guna","24.65787200:077.34452500","VA","India"
"YGDH","GUH","Gunnedah","-30.95360054:150.24059489","YG","Australia"
"WIMB","GNS","Gunung Sitoli/binaka","01.16662200:097.69860000","WI","Indonesia"
"OEGT","URY","Guriat","31.41577800:037.26406700","OE","Saudi Arabia"
"AYGN","GUR","Gurney","-10.31003900:150.32617800","AY","Papua New Guinea"
"DNGU","QUS","Gusau","12.16713900:006.69121100","DN","Nigeria"
"SKFL","FLA","Gustavo Artunduaga Paredes","01.59213100:-075.57045600","SK","Colombia"
"SKSP","ADZ","Gustavo Rojas Pinilla","12.57816700:-081.72065000","SK","Colombia"
"PAGS","GST","Gustavus","58.43271400:-135.71727800","PA","Alaska"
"VEGT","GAU","Guwahati Intl","26.09467500:091.58063300","VE","India"
"OPGD","GWD","Gwadar","25.23016700:062.32283100","OP","Pakistan"
"VIGR","GWL","Gwalior","26.28730600:078.21579700","VI","India"
"RKJJ","KWJ","Gwangju","35.11572200:126.80011100","RK","South Korea"
"FVTL","GWE","Gweru Thornhill","-19.43118300:029.85043600","FV","Zimbabwe"
"UDSG","LWN","Gyumri","40.73714700:043.85171400","UD","Armenia"
"RJTH","HAC","Hachijojima","33.11195300:139.77585300","RJ","Japan"
"ESOH","HFS","Hagfors","60.02682200:013.57812500","ES","Sweden"
"LLHA","HFA","Haifa","32.81644400:035.04169400","LL","Israel"
"OEHL","HAS","Hail","27.45466700:041.68750000","OE","Saudi Arabia"
"ZYMD","MDG","Hailang","44.51351100:129.56180600","ZY","People\'s Republic of China"
"PAHN","HNS","Haines","59.24571400:-135.53356700","PA","Alaska"
"CYHT","YHT","Haines Junction","60.78456743:-137.55397992","CY","Canada"
"VVCI","HPH","Haiphong Catbi","20.81608300:106.71399400","VV","Vietnam"
"RJCH","HKD","Hakodate","41.77433900:140.80489200","RJ","Japan"
"CYHZ","YHZ","Halifax Intl","44.86901216:-063.52460593","CY","Canada"
"CYUX","YUX","Hall Beach","68.78025000:-081.26055800","CY","Canada"
"EFHA","KEV","Halli","61.85525600:024.76196400","EF","Finland"
"YHLC","HCQ","Halls Creek","-18.24095300:127.66137800","YH","Australia"
"ESMT","HAD","Halmstad","56.68100300:012.81820800","ES","Sweden"
"OIHH","HDM","Hamadan","34.87107200:048.53926700","OI","Iran"
"EDHI","XFW","Hamburg Finkenwerder","53.52856400:009.82148600","ED","Germany"
"EDDH","HAM","Hamburg Fulsbuettel","53.65441100:009.97521100","ED","Germany"
"YHML","HLT","Hamilton","-37.64136869:142.06190815","YH","Australia"
"NZHN","HLZ","Hamilton","-37.85816900:175.33513300","NZ","New Zealand, Antarctica"
"YBHM","HTI","Hamilton Island","-20.35134200:148.94671700","YB","Australia"
"ENHF","HFT","Hammerfest","70.67741778:023.65814883","EN","Norway"
"PHHN","HNM","Hana","20.79564234:-156.01975407","PH","Hawaii"
"RJSI","HNA","Hanamaki","39.41766100:141.13267200","RJ","Japan"
"VRMH","HAQ","Hanimaadhoo","06.73930000:073.16799400","VR","Maldives"
"EDDV","HAJ","Hannover","52.45482105:009.67702104","ED","Germany"
"VVNB","HAN","Hanoi Noibai Intl","21.22469700:105.78635300","VV","Vietnam"
"NTTO","HOI","Hao","-18.06405600:-140.95721400","NT","French Polynesia"
"FVHA","HRE","Harare Intl","-17.94688100:031.07708900","FV","Zimbabwe"
"FAHR","HRS","Harrismith","-28.23129400:029.10181100","FA","South Africa"
"KASL","ASL","Harrison Co","32.52590300:-094.31096100","KA","United States of America"
"KATL","ATL","Hartsfield Jackson Atlanta Intl","33.63470475:-084.44798671","KA","United States of America"
"WRBS","SMQ","Hasan","-02.49351100:112.96890800","WR","Indonesia"
"GMML","EUN","Hassan I","27.13021400:-013.23539200","GM","Morocco"
"EBZH","QHA","Hasselt Zonhoven","50.97003900:005.37014825","EB","Belgium"
"DAFH","HRM","Hassi R Mel","32.92788900:003.29580300","DA","Algeria"
"ENHK","HAA","Hasvik","70.48838300:022.13045300","EN","Norway"
"RORH","HTR","Hateruma","24.05760835:123.80640024","RO","Japan"
"ENHD","HAU","Haugesund Lufthavn Karmoy","59.35066400:005.19753900","EN","Norway"
"EGFE","HAW","Haverfordwest","51.82709400:-004.96664200","EG","United Kingdom"
"CYGV","YGV","Havre St Pierre","50.27916700:-063.62000000","CY","Canada"
"EGNR","CEG","Hawarden","53.17121600:-002.98764000","EG","United Kingdom"
"YHAY","HXX","Hay","-34.53740784:144.82394656","YH","Australia"
"CYHY","YHY","Hay River","60.84721100:-115.79613900","CY","Canada"
"PAHV","HKB","Healy River","63.87020731:-148.96946001","PA","Alaska"
"CYHF","YHF","Hearst Rene Fontaine Muni","49.70888900:-083.69110800","CY","Canada"
"VYHH","HEH","Heho","20.75861100:096.79215000","VY","Myanmar"
"LNMC","MCM","Heliport Monaco","43.72651944:007.42004310","LN","Monaco"
"EFHF","HEM","Helsinki Malmi","60.26053900:025.04414200","EF","Finland"
"EFHK","HEL","Helsinki Vantaa","60.31129200:024.93637200","EF","Finland"
"ESUT","HMV","Hemavan","65.81204700:015.07519700","ES","Sweden"
"RCKW","HCN","Hengchun","22.04682500:120.72477200","RC","Republic of China (Taiwan)"
"OAHR","HEA","Herat","34.22121700:062.23002200","OA","Afghanistan"
"SBFL","FLN","Hercillo Luz","-27.66560000:-048.55128100","SB","Brazil"
"MUVT","VTU","Hermanos Ameijeiras","20.98179200:-076.94195600","MU","Cuba"
"MMPB","PBC","Hermanos Serdan Intl","19.17448600:-098.37203100","MM","Mexico"
"SLCO","CIJ","Heroes Del Acre","-11.04934200:-068.78462500","SL","Bolivia"
"YHBA","HVB","Hervey Bay","-25.31548600:152.87160000","YH","Australia"
"TLPL","UVF","Hewanorra Intl","13.73319700:-060.96526400","TL","Saint Lucia"
"UBBB","BAK","Heydar Aliyev","40.48666700:050.06333300","UB","Azerbaijan"
"GCHI","VDE","Hierro","27.81984700:-017.88997500","GC","Canary Islands"
"CYOJ","YOJ","High Level","58.62750000:-117.17056100","CY","Canada"
"PHTO","ITO","Hilo Intl","19.72137000:-155.05777000","PH","Hawaii"
"RJOA","HIJ","Hiroshima","34.43602500:132.90312500","RJ","Japan"
"RJBH","HIW","Hiroshimanishi","34.35964400:132.40919400","RJ","Japan"
"VIHR","HSS","Hissar","29.18221900:075.74992500","VI","India"
"NTMN","HIX","Hiva Oa","-09.77344400:-139.01410300","NT","French Polynesia"
"YMHB","HBA","Hobart","-42.82897800:147.50206100","YM","Australia"
"OYHD","HOD","Hodeidah Intl","14.74083300:042.97013600","OY","Yemen"
"EDQM","HOQ","Hof Plauen","50.28826900:011.84369700","ED","Germany"
"NZHK","HKK","Hokitika","-42.71361100:170.97900000","NZ","New Zealand, Antarctica"
"PAHC","HCR","Holy Cross","62.18361100:-159.78099400","PA","Alaska"
"PAHO","HOM","Homer","59.64029200:-151.49143100","PA","Alaska"
"VYHL","HOX","Hommalinn","24.91513100:094.90803900","VY","Myanmar"
"VHHH","HKG","Hong Kong Intl","22.31048105:113.89638651","VH","Hong Kong, China"
"ZSSS","SHA","Hongqiao Intl","31.21325000:121.33544400","ZS","People\'s Republic of China"
"AGGH","HIR","Honiara Intl","-09.43173600:160.04547200","AG","Solomon Islands"
"EGXH","BEQ","Honington","52.34095361:000.75311440","EG","United Kingdom"
"ENHV","HVG","Honningsvaag Valan","71.00967048:025.97185833","EN","Norway"
"PHNL","HNL","Honolulu Intl","21.32524700:-157.94323300","PH","Hawaii"
"PAOH","HNH","Hoonah","58.09685982:-135.41275130","PA","Alaska"
